Id,ItemName,ItemType,IconName,Price,BP,EquipEffect,EquipPower,ThrowPower,ThrowEffect,NaturalGiftPower,NaturalGiftType,PluckEffect,MachineWaza,SortNum,ItemGroup,GroupID,FieldPocket,FieldFunctionType,BattleFunctionType,BattleUseLost,BattleBagSelect,BattleBagSelectTarget,NoSpend,SetToPoke,SlotMaxNum,WorkType,WorkCommon,WorkEffectGuard,WorkCritical,WorkAttack,WorkDefense,WorkSpeed,WorkAccuracy,WorkSpAttack,WorkSpDefense,WorkLevel,WorkPpSelTgt,WorkPpRcv,WorkPpUp,WorkStatusLimitCtrl,WorkStatusHp,WorkStatusAtk,WorkStatusDef,WorkStatusSpd,WorkStatusSAtk,WorkStatusSDef,WorkFriendly1,WorkFriendly2,WorkFriendly3,WorkRecvSleep,WorkRecvPoison,WorkRecvBurn,WorkRecvFreeze,WorkRecvParalyze,WorkRecvConfuse,WorkRecvMero,WorkRecvPower,WorkRevival,WorkEvolutional,WorkRecvNemuke,WorkRecvTousyou,WorkWazaDrunk,WorkAvoidUp,WorkOffenseUp,WorkOffDefInv,prevent_toss,selectable,battlePocket,fieldUseFunc,battleUseFunc,inf_heal,guard_spec,revive,revive_all,evolve,spdef_stages,hp_restore,hp_ev_up,atk_ev_up,def_ev_up,speed_ev_up,spatk_ev_up,spdef_ev_up,friendship_mod_lo,friendship_mod_med,friendship_mod_hi,hp_restore_param,pp_restore_param,friendship_mod_lo_param,friendship_mod_med_param,friendship_mod_hi_param
0,ITEM_NONE,,,0,,0,0,0,0,0,TYPE_NORMAL,0,,,,,POCKET_ITEMS,,,,,,,,,,,,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,BATTLE_POCKET_NONE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
1,ITEM_MASTER_BALL,ITEMTYPE_BALL,item_001,0,0,0,0,0,0,0,31,0,WAZA_NULL,3,ITEMGROUP_BALL,0,POCKET_BALLS,FIELDFUNC_NONE,BTLFUNC_BALL,FALSE,TRUE,FALSE,FALSE,TRUE,999,WORKTYPE_OTHER,0,0,0,0,0,0,0,0,0,0,WORKPPSEL_NONE,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,BATTLE_POCKET_POKE_BALLS,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
2,ITEM_ULTRA_BALL,ITEMTYPE_BALL,item_002,1200,0,0,0,0,0,0,31,0,WAZA_NULL,2,ITEMGROUP_BALL,1,POCKET_BALLS,FIELDFUNC_NONE,BTLFUNC_BALL,FALSE,TRUE,FALSE,FALSE,TRUE,999,WORKTYPE_OTHER,1,0,0,0,0,0,0,0,0,0,WORKPPSEL_NONE,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,BATTLE_POCKET_POKE_BALLS,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
3,ITEM_GREAT_BALL,ITEMTYPE_BALL,item_003,600,0,0,0,0,0,0,31,0,WAZA_NULL,1,ITEMGROUP_BALL,2,POCKET_BALLS,FIELDFUNC_NONE,BTLFUNC_BALL,FALSE,TRUE,FALSE,FALSE,TRUE,999,WORKTYPE_OTHER,2,0,0,0,0,0,0,0,0,0,WORKPPSEL_NONE,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,BATTLE_POCKET_POKE_BALLS,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
4,ITEM_POKE_BALL,ITEMTYPE_BALL,item_004,200,0,0,0,0,0,0,31,0,WAZA_NULL,0,ITEMGROUP_BALL,3,POCKET_BALLS,FIELDFUNC_NONE,BTLFUNC_BALL,FALSE,TRUE,FALSE,FALSE,TRUE,999,WORKTYPE_OTHER,3,0,0,0,0,0,0,0,0,0,WORKPPSEL_NONE,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,BATTLE_POCKET_POKE_BALLS,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
5,ITEM_SAFARI_BALL,ITEMTYPE_BALL,item_005,0,0,0,0,0,0,0,31,0,WAZA_NULL,23,ITEMGROUP_BALL,4,POCKET_BALLS,FIELDFUNC_NONE,BTLFUNC_BALL,FALSE,TRUE,FALSE,FALSE,TRUE,999,WORKTYPE_OTHER,4,0,0,0,0,0,0,0,0,0,WORKPPSEL_NONE,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,BATTLE_POCKET_POKE_BALLS,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
6,ITEM_NET_BALL,ITEMTYPE_BALL,item_006,1000,0,0,0,0,0,0,31,0,WAZA_NULL,6,ITEMGROUP_BALL,5,POCKET_BALLS,FIELDFUNC_NONE,BTLFUNC_BALL,FALSE,TRUE,FALSE,FALSE,TRUE,999,WORKTYPE_OTHER,5,0,0,0,0,0,0,0,0,0,WORKPPSEL_NONE,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,BATTLE_POCKET_POKE_BALLS,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
7,ITEM_DIVE_BALL,ITEMTYPE_BALL,item_007,1000,0,0,0,0,0,0,31,0,WAZA_NULL,8,ITEMGROUP_BALL,6,POCKET_BALLS,FIELDFUNC_NONE,BTLFUNC_BALL,FALSE,TRUE,FALSE,FALSE,TRUE,999,WORKTYPE_OTHER,6,0,0,0,0,0,0,0,0,0,WORKPPSEL_NONE,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,BATTLE_POCKET_POKE_BALLS,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
8,ITEM_NEST_BALL,ITEMTYPE_BALL,item_008,1000,0,0,0,0,0,0,31,0,WAZA_NULL,7,ITEMGROUP_BALL,7,POCKET_BALLS,FIELDFUNC_NONE,BTLFUNC_BALL,FALSE,TRUE,FALSE,FALSE,TRUE,999,WORKTYPE_OTHER,7,0,0,0,0,0,0,0,0,0,WORKPPSEL_NONE,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,BATTLE_POCKET_POKE_BALLS,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
9,ITEM_REPEAT_BALL,ITEMTYPE_BALL,item_009,1000,0,0,0,0,0,0,31,0,WAZA_NULL,12,ITEMGROUP_BALL,8,POCKET_BALLS,FIELDFUNC_NONE,BTLFUNC_BALL,FALSE,TRUE,FALSE,FALSE,TRUE,999,WORKTYPE_OTHER,8,0,0,0,0,0,0,0,0,0,WORKPPSEL_NONE,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,BATTLE_POCKET_POKE_BALLS,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
