ItemName,Price,EquipEffect,EquipPower,PluckEffect,ThrowEffect,ThrowPower,NaturalGiftPower,NaturalGiftType,prevent_toss,selectable,FieldPocket,battlePocket,fieldUseFunc,battleUseFunc,partyUse,WorkRecvSleep,WorkRecvPoison,WorkRecvBurn,WorkRecvFreeze,WorkRecvParalyze,WorkRecvConfuse,inf_heal,guard_spec,revive,revive_all,WorkLevel,evolve,WorkAttack,WorkDefense,WorkSpAttack,spdef_stages,WorkSpeed,WorkAccuracy,WorkCritical,WorkPpUp,WorkPpRcv,hp_restore,hp_ev_up,atk_ev_up,def_ev_up,speed_ev_up,spatk_ev_up,spdef_ev_up,friendship_mod_lo,friendship_mod_med,friendship_mod_hi,WorkStatusHp,WorkStatusAtk,WorkStatusDef,WorkStatusSpd,WorkStatusSAtk,WorkStatusSDef,hp_restore_param,pp_restore_param,friendship_mod_lo_param,friendship_mod_med_param,friendship_mod_hi_param
ITEM_NONE,0,0,0,0,0,0,0,TYPE_NORMAL,FALSE,FALSE,POCKET_ITEMS,BATTLE_POCKET_NONE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
ITEM_MASTER_BALL,0,0,0,0,0,0,0,31,FALSE,FALSE,POCKET_BALLS,BATTLE_POCKET_POKE_BALLS,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
ITEM_ULTRA_BALL,800,0,0,0,0,0,0,31,FALSE,FALSE,POCKET_BALLS,BATTLE_POCKET_POKE_BALLS,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
ITEM_GREAT_BALL,600,0,0,0,0,0,0,31,FALSE,FALSE,POCKET_BALLS,BATTLE_POCKET_POKE_BALLS,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
ITEM_POKE_BALL,200,0,0,0,0,0,0,31,FALSE,FALSE,POCKET_BALLS,BATTLE_POCKET_POKE_BALLS,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
ITEM_SAFARI_BALL,0,0,0,0,0,0,0,31,FALSE,FALSE,POCKET_BALLS,BATTLE_POCKET_POKE_BALLS,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
ITEM_NET_BALL,1000,0,0,0,0,0,0,31,FALSE,FALSE,POCKET_BALLS,BATTLE_POCKET_POKE_BALLS,0,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
ITEM_DIVE_BALL,1000,0,0,0,0,0,0,31,FALSE,FALSE,POCKET_BALLS,BATTLE_POCKET_POKE_BALLS,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
ITEM_NEST_BALL,1000,0,0,0,0,0,0,31,FALSE,FALSE,POCKET_BALLS,BATTLE_POCKET_POKE_BALLS,0,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
ITEM_REPEAT_BALL,1000,0,0,0,0,0,0,31,FALSE,FALSE,POCKET_BALLS,BATTLE_POCKET_POKE_BALLS,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0
